자격요건,우대조건,주요업무,복지
"['최소', '2년', '이상', '혹은', '그', '에', '준', '하는', '해당', '업무', '경험', 'python', '필수', '웹', '프레임워크', 'django', '에', '능숙하신', '분', '테스트', '코드', '작성', '의', '필요성', '을', '이해', '하고', '실천', '하시는', '분', '코드', '리뷰', '와', '페어', '프로그래밍', '등', '팀', '내', '협업', '의', '필요성', '을', '이해', '하고', '실천', '하시는', '분', '개발', '기획', '세무', '운영', 'cs', '등', '다양한', '직', '군', '의', '동료', '들', '과', '원활한', '소통', '이', '가능하신', '분', 'tech', 'specs', 'language', 'python', '3', 'framework', 'django', 'rest', 'framework', 'flask', 'fastapi', 'celery', 'data', 'storage', 'postgresql', 'redis', 'dynamodb', 's', '3', 'deployment', 'github', 'action', 'docker', 'ecs', 'eks', 'cloud', 'platform', 'aws', 'vcs', 'github', 'communication', 'slack', 'documentation', 'notion', 'g', 'suite', 'jira', 'issue', 'tracker', 'jira', 'github', 'javascript', 'typescript', 'react', '.', 'js', 'vue', '.', 'js']","['msa', '기반', '의', '시스템', '개발', '경험', '이', '있으신', '분', 'aws', '를', '활용', '한', '개발', '운영', '경험', '이', '있으신', '분', 'ci', 'cd', '운영', '경험', '이', '있으신', '분', 'jira', 'wiki', '혹은', '유사한', '도구', '를', '활용', '한', '이슈', '관리', '및', '문서', '화', '에', '익숙하신', '분', '문제', '해결', '을', '위', '한', '신규', '기술', '에', '대한', '리서치', '및', '원', '어', '문서', '읽는', '것', '을', '즐기시는', '분', 'windows', '개발', '환경', '이', '익숙하신', '분', 'slack', 'google', '등', '외부', 'api', '연동', '경험', '이', '있으신', '분']","['세무', '알고리즘', '자동화', '설계', '및', '개발', '세무', '팀', '과', '커뮤니케이션', 'aws', '인프라', '이용', '업무']","['#', '몰입', '을', '위', '한', '액면가', '스톡옵션', '의', '기회', '가', '열려있습니다', '.', '2023년', '7월', '내', '합류', '기준', '최대', '주', '2회', '몰입', '워', '크', '가능해요', '일', '하고', '싶은', '곳', '아무', '데', '서나', '!', '유연하게', '출근', '하세요', '8', '30~11', '00', '출근', '17', '30~20', '00', '퇴근', '자유로운', '휴가', '사용', '출산', '휴가', '육아', '휴직', '육', '아기', '근로', '단축', '지원', '해요', '배우자', '를', '포함', '한', '건강검진', '이', '매년', '제공', '됩니다', '!', '육아', '맘', '을', '위', '하여', '휴직', '외', '에도', '업무', '범위', '를', '조정', '하고', '육', '아기', '근로', '단축', '풀', '재택', '을', '지원', '해요', '매월', '첫', '수요일', '가족', '의', '날', '조기', '퇴근', '생일', '자', '조기', '퇴근', '할', '수', '있어요', '개인', '법카', '지급', '되고', '절차', '도', '간편합니다', '.', '#', '전문가', '지원', '업계', '에서', '잘나가는', 'fe', '가', '될', '수', '있도록', '다양한', '직무', '교육', '을', '지원', '해요', '교육', '연차', '도', '제공', '됩니다', '.', '역량', '교육비', '일부', '차감', '최고', '의', '컨설팅펌', '연사', '가', '직', '강하는', 'problem', '&', 'solving', '리더', '양성', '프로그램', '을', '월', '1회', '제공', '해요', '역량', '개발', '교육비', '지원', '150만원', '한도', '해줘요', '직무', '도서', '구입', '비', '지원', '무제한', '해줘요', '자격증', '취득', '및', '외부', '세미나', '교육', '출', '강시', '상품권', '지급', '해요', '사내', '스터디', '활동', '비', '지원', '해요', '#', '위치', '=', '복지', '선릉역', '1', '번', '출구', '도보', '5분', '거리', '다음', '달', '에', '삼성역', '코엑스', '근처', '로', '이사해', '요', '.']"
"['html', 'css', 'javascript', '에', '대한', '이해', '컴퓨터', '사이언스', '에', '대한', '기본', '지식', '복잡한', '요구사항', '속', '에서', '문제', '를', '정의', '하고', '풀어내는', '능력', '익숙하지', '않은', '도메인', '세무', '재무', '에', '대해', '서', '적극', '적', '으로', '학습', '할', '수', '있는', '분', 'tech', 'specs', 'javascript', 'typescript', 'vue', '.', 'js', 'github', 'github', 'action', 'jira', 'slack', 'notion', 'aws', 'github', 'javascript', 'typescript', 'react', '.', 'js', 'vue', '.', 'js']","['vue', '.', 'js', 'react', '.', 'js', 'angular', '등', 'spa', '개발', '경험', '이', '있는', '분', 'typescript', '를', '사용', '한', '개발', '경험', '이', '있는', '분', '테스트', '코드', '작성', '을', '중요하게', '생각', '하는', '분', '오픈소스', '기여', '경험', '이', '있는', '분', '적극', '적', '으로', '동료', '와', '소통', '하는', '분', '세무', '나', '재무', '관련', '지식', '이나', '경험', '이', '있으신', '분']","['세무', '관련', '서비스', '및', '플랫폼', '의', '프론트엔드', '에', '플리', '케이', '션', '개발', '요구사항', '분석', '기획', 'ux', '설계', '구현', '테스트', '등', '서비스', '개발', '전', '과정', '에', '참여', '하여', '개발', '합니다', '.']","['#', '몰입', '을', '위', '한', '액면가', '스톡옵션', '의', '기회', '가', '열려있습니다', '.', '2023년', '7월', '내', '합류', '기준', '최대', '주', '2회', '몰입', '워', '크', '가능해요', '일', '하고', '싶은', '곳', '아무', '데', '서나', '!', '유연하게', '출근', '하세요', '8', '30~11', '00', '출근', '17', '30~20', '00', '퇴근', '자유로운', '휴가', '사용', '출산', '휴가', '육아', '휴직', '육', '아기', '근로', '단축', '지원', '해요', '배우자', '를', '포함', '한', '건강검진', '이', '매년', '제공', '됩니다', '!', '육아', '맘', '을', '위', '하여', '휴직', '외', '에도', '업무', '범위', '를', '조정', '하고', '육', '아기', '근로', '단축', '풀', '재택', '을', '지원', '해요', '매월', '첫', '수요일', '가족', '의', '날', '조기', '퇴근', '생일', '자', '조기', '퇴근', '할', '수', '있어요', '개인', '법카', '지급', '되고', '절차', '도', '간편합니다', '.', '#', '전문가', '지원', '업계', '에서', '잘나가는', 'fe', '가', '될', '수', '있도록', '다양한', '직무', '교육', '을', '지원', '해요', '교육', '연차', '도', '제공', '됩니다', '.', '역량', '교육비', '일부', '차감', '최고', '의', '컨설팅펌', '연사', '가', '직', '강하는', 'problem', '&', 'solving', '리더', '양성', '프로그램', '을', '월', '1회', '제공', '해요', '역량', '개발', '교육비', '지원', '150만원', '한도', '해줘요', '직무', '도서', '구입', '비', '지원', '무제한', '해줘요', '자격증', '취득', '및', '외부', '세미나', '교육', '출', '강시', '상품권', '지급', '해요', '사내', '스터디', '활동', '비', '지원', '해요', '#', '위치', '=', '복지', '선릉역', '1', '번', '출구', '도보', '5분', '거리', '다음', '달', '에', '삼성역', '코엑스', '근처', '로', '이사해', '요', '.']"
"['3년', '이상', '또는', '그', '에', '준', '하는', '프론트엔드', '서비스', '개발', '및', '유지', '관리', '경험', '을', '가지신', '분', '주어진', '업무', '외', '에', '주도', '적', '으로', '문제', '를', '발견', '하고', '분석', '하여', '솔루션', '을', '제안', '할', '수', '있는', '분', 'next', '.', 'js', 'react', '개발', '경험', '이', '있으신', '분', 'git', '을', '올바르게', '사용', '하고', '이를', '통한', '협업', '이', '가능하신', '분', 'nan']","['이런', '분', '은', '더욱', '환영', '합니다', '.', '팀', '리드', '경험', '이', '있으신', '분', 'tts', 'stt', '관련', '프로젝트', '경험', '관심', '이', '있으신', '분', '기본', '영어', '의사소통', '이', '가능하신', '분', '코드', '리뷰', '와', '리팩토링', '으로', '코드', '퀄리티', '를', '개선', '한', '경험', '이', '있으신', '분', '글로벌', '서비스', '를', '운영', '해본', '경험', '이', '있으신', '분', '소규모', '의', '팀', '에서', '운영', '경영', 'full', 'cycle', '경험', '이', '있으신', '분', '영상', '번역', '자막', '제작', '경험', '이', '있으신', '분', 'recoil', '등', '상태', '관리', '라이브러리', '를', '사용', '한', '경험', '이', '있으신', '분', '디자이너', '와', '함께', '협업', '을', '통해', '서비스', '개발', '경험', '이', '있으신', '분', '프로', '덕트', '팀', '조직', '문화', '작은', '조직', '이기', '에', '체계', '적', '이지', '않은', '면도', '있지만', '이를', '이해', '하려고', '노력', '하고', '있으며', '개선', '합니다', '.', '1', '주일', '단위', '로', '스프린트', '를', '진행', '합니다', '.', '스프린트', '가', '끝날', '때', '회고', '를', '통', '하여', '발전', '하려고', '노력', '합니다', '.', '매일', '스크럼', '미팅', '을', '합니다', '.', '스프린트', '의', '진행', '상황', '과', '이슈', '등', '을', '공유', '합니다', '.', '좋은', '코드', '를', '유지', '하기', '위', '하여', '코드', '를', '리뷰', '하고', 'ci', 'cd', '를', '활용', '하여', '테스트', '부터', '배포', '까지', '자동화', '합니다', '.']","['어떤', '업무', '를', '하게', '되나요', '?', '알트', '에디터', '영상', '번역', '|', '자막', '생', '성', '에디터', '개발', '합니다', '.', '영상', '번역가', '들', '및', '영상', '제작자', '들', '이', '사용', '하는', '에디터', '를', '고도', '화합니다', '.', 'subup', '.', 'io', '개편', '합니다', '.', '사용', '중', '인', '기술', 'language', '|', 'framework', 'node', '.', 'js', 'next', '.', 'js', 'python', 'django', 'typescript', 'postgressql', 'build', 'deploy', 'github', 'actions', 'jest', 'react', 'testing', 'library', 'infrastructures', 'aws', 's', '3', 'ecr', 'ec', '2', 'docker']","['자유로운', '휴가', '무제한', '무급', '휴가', '동료', '와', '원활한', '협업', '을', '위해', '11시', '부터', '6시', '사이', '에', '근무', '주당', '40시간', '근무', '|', '그', '외', '시간', '은', '구성원', '이', '자유롭게', '조정', '할', '수', '있습니다', '.', '점심', '저녁', '간식', '음료', '커피', '지원', '최신', '장비', '지급', '최고급', '사양', '개인맞춤', '형', '구매', '운동', '비용', '지급', '월', '5만원', '도서', '온라인', '강연', '지원', '리스', '픽', '1', '1', '영어', '과외', '월', '8회', '지원', 'ott', '계정', '제공', 'netflix', 'watcha', '등', '6', '개', '+', '야근', '은', '선택', '사항', '이며', '야근', '시', '수당', '지원', '12', '주', '유급', '출산', '휴가', '지원', '엄마', '아빠', '모두', '가능', '반려동물', '입양', '시', '1일', '유급', '휴가', '함께', '성장하는', '반려', '식물', '지원', '식물', '선택', '가능', '회식', '은', '점심', '에', '월', '1회', '건강검진', '매년', '6월', '말', '지원', '6', '개월', '단위', '연봉', '협상']"
"['3년', '이상', '또는', '그', '에', '준', '하는', '백엔드', '서비스', '개발', '및', '유지', '관리', '경험', '을', '가지신', '분', '주어진', '업무', '외', '에', '주도', '적', '으로', '문제', '를', '발견', '하고', '분석', '하여', '솔루션', '을', '제안', '할', '수', '있는', '분', 'nan']","['이런', '분', '은', '더욱', '환영', '합니다', '.', '팀', '리드', '경험', '이', '있으신', '분', 'tts', 'stt', '관련', '프로젝트', '경험', '관심', '이', '있으신', '분', '기본', '영어', '의사소통', '이', '가능하신', '분', '복잡한', '도메인', '로직', '을', '가진', '서비스', '개발', '경험', '이', '있으신', '분', 'clean', 'architecture', '에', '대한', '경험', '이', '있으신', '분', '코드', '리뷰', '와', '리팩토링', '으로', '코드', '퀄리티', '를', '개선', '한', '경험', '이', '있으신', '분', '글로벌', '서비스', '를', '운영', '해본', '경험', '이', '있으신', '분', '소규모', '의', '팀', '에서', '운영', '경영', 'full', 'cycle', '경험', '이', '있으신', '분', '영상', '번역', '자막', '제작', '경험', '이', '있으신', '분', '개발', '팀', '조직', '문화', '작은', '조직', '이기', '에', '체계', '적', '이지', '않은', '면도', '있지만', '이를', '이해', '하려고', '노력', '하고', '있으며', '개선', '합니다', '.', '1', '주일', '단위', '로', '스프린트', '를', '진행', '합니다', '.', '스프린트', '가', '끝날', '때', '회고', '를', '통', '하여', '발전', '하려고', '노력', '합니다', '.', '매일', '스크럼', '미팅', '을', '합니다', '.', '스프린트', '의', '진행', '상황', '과', '이슈', '등', '을', '공유', '합니다', '.', '좋은', '코드', '를', '유지', '하기', '위', '하여', '코드', '를', '리뷰', '하고', 'ci', 'cd', '를', '활용', '하여', '테스트', '부터', '배포', '까지', '자동화', '합니다', '.']","['어떤', '업무', '를', '하게', '되나요', '?', '알트', '에디터', '영상', '번역', '|', '자막', '생', '성', '에디터', '개발', '합니다', '.', '영상', '번역가', '들', '및', '영상', '제작자', '들', '이', '사용', '하는', '에디터', '를', '고도', '화합니다', '.', 'subup', '.', 'io', '개편', '합니다', '.', '사용', '중', '인', '기술', 'language', '|', 'framework', 'node', '.', 'js', 'next', '.', 'js', 'python', 'django', 'typescript', 'postgressql', 'build', 'deploy', 'jest', 'react', 'testing', 'library', 'github', 'actions', 'infrastructures', 'aws', 's', '3', 'ecr', 'ec', '2', 'docker']","['자유로운', '휴가', '무제한', '무급', '휴가', '동료', '와', '원활한', '협업', '을', '위해', '11시', '부터', '6시', '사이', '에', '근무', '주당', '40시간', '근무', '|', '그', '외', '시간', '은', '구성원', '이', '자유롭게', '조정', '할', '수', '있습니다', '.', '점심', '저녁', '간식', '음료', '커피', '지원', '최신', '장비', '지급', '최고급', '사양', '개인맞춤', '형', '구매', '운동', '비용', '지급', '월', '5만원', '도서', '온라인', '강연', '지원', '리스', '픽', '1', '1', '영어', '과외', '월', '8회', '지원', 'ott', '계정', '제공', 'netflix', 'watcha', '등', '6', '개', '+', '야근', '은', '선택', '사항', '이며', '야근', '시', '수당', '지원', '12', '주', '유급', '출산', '휴가', '지원', '엄마', '아빠', '모두', '가능', '반려동물', '입양', '시', '1일', '유급', '휴가', '함께', '성장하는', '반려', '식물', '지원', '식물', '선택', '가능', '회식', '은', '점심', '에', '월', '1회', '건강검진', '매년', '6월', '말', '지원', '6', '개월', '단위', '연봉', '협상']"
"['php', '중', '급', '이상', 'mysql', '중', '급', '이상', 'php', '프레임워크', '사용', '경험', '자', 'ci', 'laravel', '등', 'linux', '기반', '웹서비스', 'backend', '개발', '경험', '자', 'git', 'linux', 'mysql', 'php', 'docker', 'svn']","['웹', '서비스', '라이브', '런칭', '경험', '자', 'restful', 'api', '설계', '및', '개발', '경험', 'git', 'hub', '경험', '자', 'docker', 'nginx', '사용', '경험', '외부', '장비', '인터페이스', '연동', '경험']","['웹', '기반', '검사', '시스템', '개발', '및', '유지', '보수', '신규', '프로젝트', '개발']","['매월', '1회', '패밀리', '데이', '오전', '근무', '세번', '째', '금요일', '패밀리', '데이', '상품권', '지급', '연', '60만원', '상당', '복지', '포인트', '지급', '연', '100만원', '상당', '사내', '간식', '음료', '커피', '무한', '제공']"
"['1년', '이상', '의', '백엔드', '개발', '경력', '또는', '그', '에', '준', '하는', '경험', '이', '있으신', '분', 'javascript', 'react', '운영', '환경', '에', '거부', '감', '이', '없으신', '분', 'mysql', '사용', '가능하신', '분', '클라우드', '컴퓨팅', 'aws', '환경', '에', '대한', '이해', '가', '있는', '분', '꽃', '에', '관심', '이', '있거나', '가까이', '할', '수', '있으신', '분', 'git', 'django', 'mysql', 'react', 'python', 'typescript', 'aws', 'jenkins', 'docker', 'next', '.', 'js', 'fastapi']","['온라인', '커머스', '서비스', '업계', '경험', '이', '있으신', '분', '주문', '결제', '물류', '배송', '등', '이커머스', '시스템', '개발', '및', '운영', '경험', '이', '있으신', '분', '언어', '와', '환경', '에', '구애', '받지', '않고', '서비스', '를', '구축', '할', '수', '있는', '능력', '있으신', '분', 'django', 'celery', '사용', '경험', '있으신', '분', '클라우드', '컴퓨팅', 'aws', '에서', '제품', '서비스', '개발', '및', '운영', '경험', '이', '있으신', '분', '프론트엔드', '프레임워크', '개발', '및', '운영', '경험', '이', '있으신', '분', 'flutter', '앱', '개발', '및', '운영', '경험', '이', '있으신', '분']","['꾸까', 'e', '커머스', '전용', '프레임워크', '개발', '및', '유지', '보수', '클라우드', '컴퓨팅', 'aws', '인프라', '운영']","['서울', '7', '호선', '내방역', '1', '번', '출구', '도보', '5분', '거리', '수습', '기간', '3', '개월', '평가', '후', '정규직', '원', '채용', '여부', '결정', '자사', '상품', '50%', '직원', '할인', '자사', '오프라인', '지점', '플라워', '클래스', '및', '상품', '50%', '직원', '할인', '첫', '타투', '지', '원금', '4', '대', '보험', '및', '퇴직금', '간단', '간식', '제공', '자유로운', '연차', '반', '차', '사용', '생일', '특별', '연차', '\x1f', '주', '5일', '근무', '3년', '마다', '안식', '월', '2', '주', '조기', '채용', '시', '마감']"
"['aws', 'linux', 'gitlab', 'db', 'mysql', 'eks', 'k', '8', 's', 'docker', 'python', '위', '기술', '스택', '사용', '가능하신', '분', 'gitlab', 'linux', 'mysql', 'html', 'java', 'aws', 'spring', 'framework', 'gcp']","['aws', '운영', '경험', '개발', 'python', 'java', '등', '경험', '보유', '자']","['db', '단', '개발', '및', '데이터', '관리', '필수', '제출', '서류', '이력서', '경력', '기술', '서', '경력', '에', '대한', '경력', '기술', '서', '필수', '첨부', '사진', '첨부', '필수', '서류', '전형', '전화', '인터뷰', '1', '차', '실무', '진', '면접', '2', '차', '임원', '면접', '최종', '합격', '절차', '는', '변경', '될', '수', '있습니다', '.']","['4', '대', '보험', '연차', '제도', '경', '조휴', '가', '및', '경', '조', '사비', '퇴직금', '장기', '근속', '포상']"
"['7년', '이상', '의', '소프트웨어', '개발자', '경력', 'junior', '팀원', '들', '에게', '본인', '의', '경험', '과', '지식', '을', '공유', '하여야', '합니다', '.', 'java', 'vuejs', 'html', 'javascript', 'jquery', 'python', 'postgresql', 'mssql', 'oracle', '등', 'db', '기반', '기술', '에', '대한', '이해', '와', '경험', '각종', 'legacy', '시스템', '과의', '연동', '.', '웹서비스', 'api', '설계', '및', '개발', 'git', 'github', 'jira', 'django', 'vuejs', 'html', 'java', 'javascript', 'python', 'aws', 'postgresql', 'mssql', 'spring', 'boot']","['refactoring', '경험', 'orm', 'db', '모델링', '설계', '능력', '팀', '운영', '프로세스', '설계', '및', '동료', '들', '간의', '원활한', '커뮤니케이션', '능력', 'docker', '기반', '컨테이너', '인프라', '경험', '우대']","['python', 'django', 'java', 'spring', 'boot', '웹', '애플리케이션', '을', '구축', '운영', '하게', '됩니다', '신규', '시스템', '기능', '설계', '연동', '기능', '설계', 'api', '설계', '등', '시스템', '전반', '적', '인', '설계', '업무', '및', '주요', '핵심', '기능', '개발', '을', '담당', '합니다', '.', 'pl', '급', '으로서', '프로젝트', '진행', '시', '개발', '팀', '의', '특정', '파트', '를', '리드', '합니다', '.', '주요', '인프라', 'system', 'architecture', '설계', '및', '구성', '에', '참여', '합니다', '.']","['1', '편한', '근무', '를', '지원', '합니다', '.', '일', '에만', '집중', '하세요', '.', '유연근무제', '오전', '7', '오후', '2시', '사이', '출근', '하루', '최소', '4시간', '근무', '주', '40시간', '근무', '반말', '금지', '대표', '포함', '모두', 'ooo', '님', '으로', '호칭', '자유', '복장', '반바지', 'ok', '2', '개인', '의', '성장', '을', '지원', '합니다', '.', '도서', '구입', '비', '지원', '무료', '교육', '과정', '제공', '패스트', '캠퍼스', '계정', '의무', '교육', '아닌', '온디멘드', '교육', '임', '온라인', '교육', '과정', '비용', '지원', '팀', '스터디', '지원', '및', '팀', '동호회', '지원', '3', '즐겁게', '일', '할', '수', '있도록', '합니다', '.', '휴가', '기본', '15일', '지급', '첫', '해부터', '12월', '마지막', '주', '전체', 'shut', 'down', '지난', '2년', '간', '연말', '회식', '외', '에', '회사', '회식', '은', '없었습니다', '.', '2020년', '연말', '회식', '한우', '2021년', '연말', '회식', '호텔', '부페', '진행', '4', '성장', '의', '과실', '을', '나눕니다', '.', '2021년', '부터', '정규', '연봉', '외', '에', '연말', '성', '과금', '을', '지급', '했습니다', '.', '5', '기타', '지원', '중식', '석식', '간식', '제공', '다이어트', '는', '제공', '불가', '...', '간식', '을', '신청', '할', '수', '있습니다', '.', '경', '조', '사비', '지원', '마스크', '지원', '현재', '23', '명', '정도', '되는', '작은', '팀', '이지만', '일', '에', '집중', '할', '수', '있고', '또', '서로', '도와줄', '수', '있는', '분위기', '입니다', '.']"
"['aws', '등', '클라우드', '컴퓨팅', '경험', '자', 'chatgpt', '사용', '을', '통해', '코딩', '을', '하여', '결과물', '을', '빠르게', '도출', '할', '수', '있는', '사람', '신', '기술', '에', '대해', '빠르게', '적응할', '수', '있는', '능력', 'typescript', 'modern', 'javascript', 'es', '6', '+', '개발', '경험', '이', '있으신', '분', 'restful', 'api', '에', '대한', '깊은', '이해', '를', '바탕', '으로', '상용', '서비스', '를', '개발', '해본', '경험', '클라이언트', '아키텍쳐', '패턴', 'mvp', 'mvvm', '등', '도입', '경험', '이', '있으신', '분', '심심이', '서비스', '를', '이용', '해', '보신', '분', 'git', 'android', 'ios', 'typescript', 'react', 'native']","['android', 'ios', 'react', 'native', '로', '설계', '부터', '결과물', '을', '단독', '으로', '완성', '해보신', '분', '학교', '과제', '제외', '앱', '출시', '또는', '서비스', '운영', '경험', '이', '있으신', '분', 'git', '을', '이용', '한', '협업', '및', '버전', '관리', '경험', '이', '있으신', '분', '코드', '개선', '및', '코드', '리뷰', '에', '적극', '참여', '하시는', '분', '여러', '사람과', '협업', '과', '소통', '이', '원활하신', '분']","['다양한', '정부', '과제', '프로젝트', '챗봇', '데이터', '구축', '정신건강', 'ai', '워', '크', '벤치', '등', '신규', '개발', '및', '기능', '개선', '기획', '디자인', 'qa', '부서', '와', '협업', '하여', '최선', '의', '개발', '산출', '물', '생', '성', '서비스', '를', '이해', '하는', '능력', '데이터', '수집', '에', '대한', '명확한', '이해', '및', '실행', '소통', '능력', '문제해결', '능력', '모니터링', '과', '최적화', '정기', '적', '인', '모니터링', '을', '통해', '버그', '에', '대한', '수정', '및', '지속', '적', '배포', '.', '이상', '징후', '에', '대한', '탐지', '의지', '및', '이슈', '공유', '.', '코드', '및', '기술', '개선', '수정과', '기능', '개선', '에', '유연한', '대응', '이', '가능한', '코드', '를', '작성', '하기', '위', '한', '노력', '.', '이슈', '해결', '하는데', '더', '나은', '기술', '적', '의견', '을', '찾아보고', '공유', '하여', '기술', '적', '고도화', '를', '이루려는', '자세', '.', '인재', '상', '현재', '담당', '하는', '개발', '업무', '가', '자신', '의', '커리어', '에', '어떤', '의미', '가', '있는지', '생각', '하는', '사람', '개발', '분야', '를', '한정', '해서', '개발', '하는', '것', '보다는', '다양한', '언어', '및', '분야', '를', '도전', '해보고', '싶은', '사람', '면접', '전형', '1', '차', '서류', '제출', '2', '차', '회사', '면접', '온라인', '코딩', '테스트', '직무', '인터뷰']","['야근', '은', '절대', '지', '양', '근무시간', '내', '에', '최대', '의', '결과물', '을', '낼수', '있는', '능력', '을', '지향', '일', '정상', '불가피하게', '야근', '시', '휴가', '로', '대체', '혹은', '야근', '비', '선택', '가능', '최신', '업무', '장비', '지원', '직무', '별', '옵션', '사내', '휴식', '공간', '및', '스낵바', '자기개발', '비', '체력', '단련', '비', '지원', '자유로운', '휴가', '사용', '재택', '및', '유연', '근무', '경조사', '및', '명절', '선물']"
"['기본', '기술', '자격', '요건', 'vue', '.', 'js', '개발', '업무', '를', '6년', '이상', '경험', '하신', '분', '업무', '처리', '자격', '요건', '신', '기술', '습득', '이', '빠르며', '응용', '능력', '을', '보유', '한', '분', '문', '제', '분석', '을', '통한', '솔루션', '제안', '및', '해결', '능력', '이', '있는', '분', 'cissp', 'ips', 'cisa']","['보유', '기술', '우대', '사항', 'vue', '.', 'js', '+', 'spring', 'boot', '연동', '개발', '경험', '이', '있으신', '분', 'bootstrap', '활용', '경험', '이', '있으신', '분', 'ib', 'sheet', '그리드', '툴', '경험', '이', '있으신', '분', 'ubiform', '외', '오즈', 'rd', '리포트', '디자이너', '경험', '이', '있으신', '분', 'jsp', '개발', '경험', '이', '있으신', '분', 'typescript', '개발', '경험', '이', '있으신', '분', '업무', '경험', '우대', '사항', '그룹', '웨어', '또는', '전자', '결재', '시스템', '개발', '경험', '이', '있으신', '분', 'rest', 'api', '개발', '경험', '이', '있으신', '분', 'aws', '클라우드', '환경', '개발', '및', '운영', '경험', '이', '있으신', '분', '운영', '관리', '우대', '사항', 'jenkins', '사용', '경험', '이', '있으신', '분']","['이지스', '앤터', '프라', '이즈', '에서', '제공', '하는', '공동', '주택', '집합', '건물', '관리', '어플리케이션', '을', '개발', '하고', '운영', '하는', '업무', '우리', '가', '개발', '하는', '시스템', '은', '회계', '시스템', '인사', '급여', '시스템', '과금', '관리', '시스템', '검침', '관리', '시스템', '민원', '관리', '시스템', '입주', '관리', '차량', '관리', '자동', '이체', '관리', '시스템', '등', '효율', '적', '인', '공동', '주택', '관리', '에', '도움', '을', '주는', '업무', '관리', '프로그램', '입니다', '.', '공동', '주택', '및', '집합', '건물', '관련', '직무', '별', '모든', '업무', '를', '통합', '관리', '할', '수', '있는', '시스템', '과', '입', '주민', '편의', '를', '위', '한', '전자', '민원', '방문', '차량', '관리', '비', '조회', '등', '의', '생활', '서비스', '연동', '개발', '전자', '결재', '전자', '민원', '장충', '금', '관리', '전자문서', '전자', '투표', '등등']","['건강한', '사내', '문화', '탄력', '근', '무제', '자유로운', '연차', '회식', '강요', '안해', '요', '사', '우회', '사내', '동호회', '운영', '개인', '의', '성장', '자기개발', '비', '지원', '도서', '구입', '피트니스', '교육', '등', '연', '60만원', '직무', '관련', '교육', '및', '도서', '무제한', '지원', '본인', '혹은', '자녀', '학자금', '지원', '점심', '식비', '지원', '월', '10만', '페이', '코', '포인트', '평화로운', '가정', '질병', '치료', '수술', '등', '의료', '비', '지원', '연', '최대', '300만원', '본인', '및', '가족', '중', '1', '인', '건강검진', '비', '지원', '70만원', '상당', '든든한', '포상', '매년', '우수', '사원', '표창', '장기', '근', '속', '사원', '포', '상금', '지급', '특별한', '날', '생일', '축하', '금', '상품권', '창립', '기념일', '선물', '상품권', '명절', '선물', '대명', '및', '한화', '콘도', '숙박', '권', '사용', '및', '이용', '요금', '지원', '결혼', '과', '출산', '가족', '경조사', '선물', '과', '경', '조금', '지급']"
